姓名,联系电话,预定日期,楼号,户型,面积,单价,契税,房价总额,契税总额,销售人员
客户1,13557112358,2008/5/12,5-101,两室一厅,125.12,6821,1.50%,,,人员甲
客户2,13557112359,2008/4/15,5-102,三室两厅,158.23,7024,3%,,,人员丙
客户3,13557112360,2008/2/25,5-201,两室一厅,125.12,7125,1.50%,,,人员甲
客户4,13557112361,2008/1/12,5-202,三室两厅,158.23,7257,3%,,,人员乙
客户5,13557112362,2008/4/30,5-301,两室一厅,125.12,7529,1.50%,,,人员丙
客户6,13557112363,2008/10/23,5-302,三室两厅,158.23,7622,3%,,,人员丙
客户7,13557112364,2008/5/6,5-401,两室一厅,125.12,8023,1.50%,,,人员戊
客户8,13557112365,2008/6/17,5-402,三室两厅,158.23,8120,3%,,,人员戊
客户9,13557112366,2008/4/19,5-501,两室一厅,125.12,8621,1.50%,,,人员乙
客户10,13557112367,2008/4/27,5-502,三室两厅,158.23,8710,3%,,,人员甲
客户11,13557112368,2008/2/26,5-601,两室一厅,125.12,8925,1.50%,,,人员丙
客户12,13557112369,2008/7/8,5-602,三室两厅,158.23,9213,,,,人员甲
客户13,13557112370,2008/9/25,5-701,两室一厅,125.12,9358,1.50%,,,人员乙
客户14,13557112371,2008/5/4,5-702,三室两厅,158.23,9458,3%,,,人员甲
客户15,13557112372,2008/9/16,5-801,两室一厅,125.12,9624,1.50%,,,人员乙
客户16,13557112373,2008/4/23,5-802,三室两厅,158.23,9810,3%,,,人员丙
客户17,13557112374,2008/5/6,5-901,两室一厅,125.12,9950,1.50%,,,人员甲
客户18,13557112375,2008/10/5,5-902,三室两厅,158.23,10250,3%,,,人员甲
客户19,13557112376,2008/7/26,5-1001,两室一厅,125.12,11235,1.50%,,,人员戊
客户20,13557112377,2008/9/18,5-1002,三室两厅,158.23,12548,3%,,,人员丁
客户21,13557112378,2008/7/23,5-1101,两室一厅,125.12,13658,1.50%,,,人员丙
客户22,13557112379,2008/1/5,5-1102,三室两厅,158.23,13562,3%,,,人员甲
客户23,13557112380,2008/4/6,5-1201,两室一厅,125.12,14521,1.50%,,,人员丙
客户24,13557112381,2008/5/26,5-1202,三室两厅,158.23,15400,3%,,,人员戊
